0.000000	1.000000	0.000000	0.000000	6.283185	-19.739209	6.283185	0.010000
0.020000	0.992115	0.125333	-0.787492	6.233641	-19.739209	6.283185	0.010000
0.049286	0.952433	0.304749	-1.914797	5.984310	-19.739209	6.283185	0.014643
0.078661	0.880330	0.474362	-2.980504	5.531276	-19.739209	6.283185	0.014687
0.108369	0.777006	0.629493	-3.955223	4.882074	-19.739209	6.283185	0.014854
0.138660	0.643890	0.765118	-4.807383	4.045677	-19.739209	6.283185	0.015146
0.169868	0.482479	0.875907	-5.503492	3.031505	-19.739209	6.283185	0.015604
0.200319	0.307107	0.951674	-5.979553	1.929611	-19.739209	6.283185	0.015226
0.230105	0.124679	0.992197	-6.234163	0.783376	-19.739209	6.283185	0.014893
0.259512	-0.059731	0.998214	-6.271971	-0.375308	-19.739209	6.283185	0.014704
0.288768	-0.241185	0.970478	-6.097704	-1.515420	-19.739209	6.283185	0.014628
0.318075	-0.414805	0.909909	-5.717138	-2.606308	-19.739209	6.283185	0.014654
0.347637	-0.575711	0.817652	-5.137468	-3.617311	-19.739209	6.283185	0.014781
0.377686	-0.718939	0.695071	-4.367268	-4.517244	-19.739209	6.283185	0.015024
0.408518	-0.839301	0.543664	-3.415950	-5.273501	-19.739209	6.283185	0.015416
0.439296	-0.928140	0.372228	-2.338782	-5.831693	-19.739209	6.283185	0.015389
0.469287	-0.981437	0.191775	-1.204958	-6.166573	-19.739209	6.283185	0.014995
0.498804	-0.999970	0.007511	-0.047193	-6.283018	-19.739209	6.283185	0.014758
0.528091	-0.984462	-0.175589	1.103264	-6.185576	-19.739209	6.283185	0.014643
0.557356	-0.935760	-0.352633	2.215667	-5.879572	-19.739209	6.283185	0.014633
0.586800	-0.854924	-0.518750	3.259407	-5.371667	-19.739209	6.283185	0.014722
0.616642	-0.743245	-0.669017	4.203569	-4.669962	-19.739209	6.283185	0.014921
0.647147	-0.602188	-0.798353	5.016209	-3.783672	-19.739209	6.283185	0.015253
0.678309	-0.435362	-0.900254	5.656476	-2.735470	-19.739209	6.283185	0.015581
0.708545	-0.257527	-0.966270	6.071265	-1.618100	-19.739209	6.283185	0.015118
0.738201	-0.074058	-0.997253	6.265937	-0.465326	-19.739209	6.283185	0.014828
0.767546	0.110029	-0.993928	6.245042	0.691327	-19.739209	6.283185	0.014672
0.796796	0.289817	-0.957081	6.013528	1.820974	-19.739209	6.283185	0.014625
0.826152	0.460436	-0.887692	5.577544	2.893002	-19.739209	6.283185	0.014678
0.855823	0.616991	-0.786970	4.944684	3.876667	-19.739209	6.283185	0.014835
0.886053	0.754476	-0.656328	4.123833	4.740510	-19.739209	6.283185	0.015115
0.917167	0.867597	-0.497268	3.124430	5.451272	-19.739209	6.283185	0.015557
0.947691	0.946477	-0.322771	2.028031	5.946891	-19.739209	6.283185	0.015262
0.977522	0.990045	-0.140753	0.884378	6.220635	-19.739209	6.283185	0.014916
1.006953	0.999045	0.043682	-0.274463	6.277188	-19.739209	6.283185	0.014715
1.036214	0.974223	0.225589	-1.417419	6.121221	-19.739209	6.283185	0.014630
1.065509	0.916477	0.400087	-2.513821	5.758396	-19.739209	6.283185	0.014647
1.095040	0.826934	0.562298	-3.533026	5.195782	-19.739209	6.283185	0.014766
1.125036	0.706941	0.707272	-4.443924	4.441843	-19.739209	6.283185	0.014998
1.155785	0.557991	0.829846	-5.214084	3.505961	-19.739209	6.283185	0.015374
1.186650	0.387602	0.921826	-5.792012	2.435374	-19.739209	6.283185	0.015433
1.216696	0.207720	0.978188	-6.146142	1.305143	-19.739209	6.283185	0.015023
1.246244	0.023589	0.999721	-6.281442	0.148211	-19.739209	6.283185	0.014774
1.275542	-0.159808	0.987147	-6.202439	-1.004110	-19.739209	6.283185	0.014649
1.304801	-0.337573	0.941298	-5.914361	-2.121045	-19.739209	6.283185	0.014630
1.334222	-0.504836	0.863214	-5.423743	-3.171989	-19.739209	6.283185	0.014710
1.364019	-0.656683	0.754165	-4.738568	-4.126075	-19.739209	6.283185	0.014899
1.394453	-0.788052	0.615607	-3.867978	-4.951492	-19.739209	6.283185	0.015217
1.425716	-0.893043	0.449968	-2.827235	-5.611174	-19.739209	6.283185	0.015631
1.456016	-0.962057	0.272844	-1.714332	-6.044800	-19.739209	6.283185	0.015150
1.485710	-0.995971	0.089655	-0.563318	-6.257892	-19.739209	6.283185	0.014847
1.515072	-0.995516	-0.094571	0.594209	-6.255035	-19.739209	6.283185	0.014681
1.544322	-0.961468	-0.274912	1.727325	-6.041100	-19.739209	6.283185	0.014625
1.573661	-0.894785	-0.446493	2.805406	-5.622121	-19.739209	6.283185	0.014670
1.603297	-0.796658	-0.604428	3.797740	-5.005568	-19.739209	6.283185	0.014818
1.633468	-0.668486	-0.743723	4.672959	-4.200236	-19.739209	6.283185	0.015086
1.664492	-0.511772	-0.859120	5.398021	-3.215570	-19.739209	6.283185	0.015512
1.695092	-0.338179	-0.941080	5.912995	-2.124852	-19.739209	6.283185	0.015300
1.724970	-0.156605	-0.987660	6.205665	-0.983984	-19.739209	6.283185	0.014939
1.754425	0.027818	-0.999612	6.280759	0.174780	-19.739209	6.283185	0.014728
1.783692	0.210135	-0.977672	6.142902	1.320316	-19.739209	6.283185	0.014634
1.812976	0.385463	-0.922723	5.797646	2.421934	-19.739209	6.283185	0.014642
1.842479	0.548926	-0.835870	5.251935	3.449005	-19.739209	6.283185	0.014751
1.872424	0.695584	-0.718444	4.514122	4.370485	-19.739209	6.283185	0.014973
1.903094	0.820302	-0.571930	3.593548	5.154110	-19.739209	6.283185	0.015335
1.934049	0.915372	-0.402610	2.529674	5.751450	-19.739209	6.283185	0.015477
1.964151	0.974744	-0.223326	1.403203	6.124495	-19.739209	6.283185	0.015051
1.993731	0.999225	-0.039362	0.247319	6.278316	-19.739209	6.283185	0.014790
2.023042	0.989535	0.144290	-0.906603	6.217434	-19.739209	6.283185	0.014656
