0.0000000000e+00 1.0000000000e+00 0.0000000000e+00 0.0000000000e+00 6.2831853072e+00 -1.9739208802e+01
2.0000000000e-03 9.9992104420e-01 1.2566039883e-02 -7.8954757166e-02 6.2826892133e+00 -1.9739208802e+01
1.2000000000e-02 9.9715890025e-01 7.5326805442e-02 -4.7329228120e-01 6.2653341509e+00 -1.9739208802e+01
4.4297122571e-02 9.6151641344e-01 2.7474741330e-01 -1.7262903359e+00 6.0413856920e+00 -1.9739208802e+01
7.6612607049e-02 8.8636083090e-01 4.6299492165e-01 -2.9090858447e+00 5.5691690814e+00 -1.9739208802e+01
1.0928670140e-01 7.7336214326e-01 6.3396418874e-01 -3.9833192133e+00 4.8591770445e+00 -1.9739208802e+01
1.4264337238e-01 6.2453908325e-01 7.8099309620e-01 -4.9071312013e+00 3.9240934355e+00 -1.9739208802e+01
1.7712578474e-01 4.4204899534e-01 8.9699027471e-01 -5.6359654460e+00 2.7774729192e+00 -1.9739208802e+01
2.1051999404e-01 2.4552332934e-01 9.6938985425e-01 -6.0908676904e+00 1.5426638503e+00 -1.9739208802e+01
2.4319201700e-01 4.2761901634e-02 9.9908423954e-01 -6.2774449405e+00 2.6867379944e-01 -1.9739208802e+01
2.7550192848e-01 -1.5954961701e-01 9.8718859379e-01 -6.2027037770e+00 -1.0024899520e+00 -1.9739208802e+01
3.0773760790e-01 -3.5487216352e-01 9.3491318695e-01 -5.8742483333e+00 -2.2297411810e+00 -1.9739208802e+01
3.4016755021e-01 -5.3671649749e-01 8.4376055446e-01 -5.3015191143e+00 -3.3723066242e+00 -1.9739208802e+01
3.7308186681e-01 -6.9853451421e-01 7.1557361721e-01 -4.4960953599e+00 -4.3890430964e+00 -1.9739208802e+01
4.0684306780e-01 -8.3353453481e-01 5.5246348155e-01 -3.4712413956e+00 -5.2372769432e+00 -1.9739208802e+01
4.4087322428e-01 -9.3178191596e-01 3.6301225912e-01 -2.2808804115e+00 -5.8545864250e+00 -1.9739208802e+01
4.7392148840e-01 -9.8660421314e-01 1.6311768919e-01 -1.0249014986e+00 -6.1990468535e+00 -1.9739208802e+01
5.0640767457e-01 -9.9918696450e-01 -4.0256459530e-02 2.5294044997e-01 -6.2781071442e+00 -1.9739208802e+01
5.3865448913e-01 -9.7064676987e-01 -2.4049957753e-01 1.5111094633e+00 -6.0987831036e+00 -1.9739208802e+01
5.7093667148e-01 -9.0229970477e-01 -4.3110390191e-01 2.7087157675e+00 -5.6693439481e+00 -1.9739208802e+01
6.0352654402e-01 -7.9578777511e-01 -6.0557194727e-01 3.8049341924e+00 -5.0001068419e+00 -1.9739208802e+01
6.3673623074e-01 -6.5308040046e-01 -7.5728586708e-01 4.7581833735e+00 -4.1034461967e+00 -1.9739208802e+01
6.7098052632e-01 -4.7633499744e-01 -8.7926177495e-01 5.5245821295e+00 -2.9929176436e+00 -1.9739208802e+01
7.0454872162e-01 -2.8170091555e-01 -9.5950056557e-01 6.0287375680e+00 -1.7699914111e+00 -1.9739208802e+01
7.3732132580e-01 -7.9565594846e-02 -9.9682823177e-01 6.2632734077e+00 -4.9993406265e-01 -1.9739208802e+01
7.6967406187e-01 1.2331400008e-01 -9.9236653846e-01 6.2352381897e+00 7.7479903639e-01 -1.9739208802e+01
8.0190325203e-01 3.2038026267e-01 -9.4728805587e-01 5.9519996521e+00 2.0130051796e+00 -1.9739208802e+01
8.3427779582e-01 5.0514187250e-01 -8.6303553396e-01 5.4226230950e+00 3.1738982179e+00 -1.9739208802e+01
8.6708073202e-01 6.7107176488e-01 -7.4139177786e-01 4.6583103993e+00 4.2164674876e+00 -1.9739208802e+01
9.0065644206e-01 8.1144244736e-01 -5.8443187508e-01 3.6720998232e+00 5.0984430695e+00 -1.9739208802e+01
9.3491877354e-01 9.1755730696e-01 -3.9760324446e-01 2.4982185990e+00 5.7651826722e+00 -1.9739208802e+01
