10.00000000 10.00000000 10.00000000 10.00000000 10.00000000 10.00000000 10.00000000 10.00000000 10.00000000 10.00000000 10.00000000 10.00000000 10.00000000 10.00000000 10.00000000 10.00000000 10.00000000 10.00000000 10.00000000 10.00000000 10.00000000 10.00000000 10.00000000 10.00000000 10.00000000 10.00000000 10.00000000 10.00000000 10.00000000 10.00000000 10.00000000 10.00000000 10.00000000 10.00000000 10.00000000 10.00000000 10.00000000 10.00000000 10.00000000 10.00000000 10.00000000 10.00000000 10.00000000 10.00000000 10.00000000 10.00000000 10.00000000 10.00000000 10.00000000 10.00000000 10.00000000 10.00000000 10.00000000 10.00000000 10.00000000 10.00000000 10.00000000 10.00000000 10.00000000 10.00000000 10.00000000 10.00000000 10.00000000 10.00000000 10.00000000 10.00000000 10.00000000 10.00000000 10.00000000 10.00000000 10.00000000 10.00000000 10.00000000 10.00000000 10.00000000 10.00000000 10.00000000 10.00000000 10.00000000 10.00000000 10.00000000 10.00000000 10.00000000 10.00000000 10.00000000 10.00000000 10.00000000 10.00000000 10.00000000 10.00000000 10.00000000 10.00000000 10.00000000 10.00000000 10.00000000 10.00000000 10.00000000 10.00000000 10.00000000 10.00000000 10.00000000 10.00000000 10.00000000 10.00000000 10.00000000 10.00000000 10.00000000 10.00000000 10.00000000 10.00000000 10.00000000 10.00000000 10.00000000 10.00000000 10.00000000 10.00000000 10.00000000 10.00000000 10.00000000 10.00000000 10.00000000 10.00000000 10.00000000 10.00000000 10.00000000 10.00000000 10.00000000 10.00000000 10.00000000 10.00000000 10.00000000 10.00000000 10.00000000 10.00000000 10.00000000 10.00000000 10.00000000 10.00000000 10.00000000 10.00000000 10.00000000 10.00000000 10.00000000 10.00000000 10.00000000 10.00000000 10.00000000 10.00000000 10.00000000 10.00000000 10.00000000 
9.91185916 9.91185916 9.91186708 9.91188214 9.91190427 9.91193339 9.91196936 9.91201203 9.91206120 9.91211666 9.91217813 9.91224532 9.91231791 9.91239552 9.91247776 9.91256417 9.91265429 9.91274758 9.91284348 9.91294140 9.91304070 9.91314069 9.91324065 9.91333982 9.91343740 9.91353255 9.91362439 9.91371202 9.91379450 9.91387085 9.91394008 9.91400117 9.91405308 9.91409475 9.91412514 9.91414316 9.91414777 9.91413790 9.91411251 9.91407060 9.91401116 9.91393324 9.91383594 9.91371838 9.91357977 9.91341937 9.91323650 9.91303057 9.91280107 9.91254759 9.91226978 9.91196742 9.91164038 9.91128864 9.91091227 9.91051147 9.91008653 9.90963786 9.90916598 9.90867151 9.90815517 9.90761779 9.90706030 9.90648371 9.90588914 9.90527777 9.90465087 9.90400978 9.90335591 9.90269073 9.90201575 9.90133254 9.90064270 9.89994785 9.89924965 9.89854977 9.89784988 9.89715167 9.89645679 9.89576691 9.89508365 9.89440862 9.89374337 9.89308943 9.89244825 9.89182126 9.89120978 9.89061508 9.89003837 9.88948073 9.88894321 9.88842671 9.88793206 9.88746000 9.88701114 9.88658601 9.88618499 9.88580840 9.88545643 9.88512915 9.88482654 9.88454847 9.88429471 9.88406493 9.88385871 9.88367554 9.88351482 9.88337589 9.88325800 9.88316035 9.88308208 9.88302228 9.88297999 9.88295422 9.88294395 9.88294816 9.88296577 9.88299573 9.88303697 9.88308843 9.88314907 9.88321783 9.88329371 9.88337571 9.88346284 9.88355418 9.88364882 9.88374587 9.88384451 9.88394393 9.88404337 9.88414210 9.88423945 9.88433477 9.88442747 9.88451698 9.88460278 9.88468440 9.88476138 9.88483333 9.88489987 9.88496069 9.88501547 9.88506396 9.88510594 9.88514122 9.88516963 9.88519104 9.88520537 9.88521255 9.88521255 
9.82371339 9.82371339 9.82372926 9.82375943 9.82380380 9.82386215 9.82393426 9.82401978 9.82411836 9.82422952 9.82435275 9.82448747 9.82463302 9.82478865 9.82495356 9.82512687 9.82530761 9.82549475 9.82568716 9.82588365 9.82608292 9.82628362 9.82648430 9.82668344 9.82687943 9.82707060 9.82725520 9.82743140 9.82759733 9.82775103 9.82789050 9.82801372 9.82811858 9.82820300 9.82826483 9.82830194 9.82831220 9.82829350 9.82824375 9.82816090 9.82804298 9.82788806 9.82769431 9.82746000 9.82718352 9.82686338 9.82649824 9.82608689 9.82562832 9.82512167 9.82456628 9.82396169 9.82330764 9.82260407 9.82185115 9.82104924 9.82019896 9.81930111 9.81835672 9.81736705 9.81633354 9.81525786 9.81414185 9.81298757 9.81179723 9.81057321 9.80931807 9.80803449 9.80672529 9.80539341 9.80404189 9.80267386 9.80129254 9.79990119 9.79850312 9.79710168 9.79570023 9.79430213 9.79291073 9.79152934 9.79016122 9.78880958 9.78747757 9.78616822 9.78488446 9.78362912 9.78240489 9.78121431 9.78005977 9.77894349 9.77786750 9.77683368 9.77584366 9.77489892 9.77400069 9.77315000 9.77234767 9.77159431 9.77089027 9.77023574 9.76963065 9.76907474 9.76856754 9.76810840 9.76769647 9.76733072 9.76700996 9.76673283 9.76649786 9.76630342 9.76614779 9.76602914 9.76594555 9.76589503 9.76587554 9.76588500 9.76592128 9.76598227 9.76606581 9.76616979 9.76629210 9.76643065 9.76658340 9.76674836 9.76692357 9.76710716 9.76729731 9.76749226 9.76769033 9.76788993 9.76808952 9.76828767 9.76848301 9.76867426 9.76886021 9.76903976 9.76921184 9.76937551 9.76952989 9.76967415 9.76980757 9.76992948 9.77003931 9.77013652 9.77022068 9.77029138 9.77034833 9.77039125 9.77041998 9.77043437 9.77043437 
9.73555697 9.73555697 9.73558085 9.73562626 9.73569304 9.73578089 9.73588944 9.73601821 9.73616663 9.73633402 9.73651961 9.73672251 9.73694174 9.73717619 9.73742466 9.73768583 9.73795824 9.73824035 9.73853046 9.73882679 9.73912740 9.73943025 9.73973318 9.74003388 9.74032997 9.74061891 9.74089808 9.74116474 9.74141605 9.74164909 9.74186086 9.74204827 9.74220821 9.74233748 9.74243289 9.74249122 9.74250925 9.74248381 9.74241173 9.74228994 9.74211544 9.74188534 9.74159687 9.74124743 9.74083457 9.74035604 9.73980980 9.73919406 9.73850726 9.73774811 9.73691561 9.73600905 9.73502803 9.73397247 9.73284261 9.73163900 9.73036255 9.72901448 9.72759635 9.72611001 9.72455768 9.72294184 9.72126527 9.71953107 9.71774257 9.71590337 9.71401729 9.71208840 9.71012092 9.70811930 9.70608810 9.70403205 9.70195598 9.69986481 9.69776353 9.69565717 9.69355079 9.69144946 9.68935821 9.68728203 9.68522585 9.68319448 9.68119265 9.67922495 9.67729579 9.67540942 9.67356989 9.67178104 9.67004645 9.66836947 9.66675318 9.66520036 9.66371352 9.66229485 9.66094621 9.65966916 9.65846492 9.65733439 9.65627814 9.65529640 9.65438908 9.65355580 9.65279583 9.65210818 9.65149156 9.65094442 9.65046495 9.65005113 9.64970068 9.64941119 9.64918003 9.64900444 9.64888153 9.64880830 9.64878168 9.64879850 9.64885559 9.64894973 9.64907771 9.64923631 9.64942237 9.64963275 9.64986437 9.65011423 9.65037941 9.65065707 9.65094447 9.65123899 9.65153810 9.65183940 9.65214060 9.65243952 9.65273414 9.65302251 9.65330284 9.65357346 9.65383279 9.65407940 9.65431197 9.65452928 9.65473023 9.65491385 9.65507923 9.65522562 9.65535232 9.65545878 9.65554451 9.65560914 9.65565238 9.65567405 9.65567405 
9.64738412 9.64738412 9.64741609 9.64747694 9.64756641 9.64768413 9.64782960 9.64800218 9.64820111 9.64842551 9.64867432 9.64894640 9.64924041 9.64955489 9.64988825 9.65023870 9.65060435 9.65098310 9.65137272 9.65177080 9.65217480 9.65258197 9.65298942 9.65339410 9.65379279 9.65418213 9.65455861 9.65491855 9.65525817 9.65557355 9.65586068 9.65611543 9.65633360 9.65651094 9.65664315 9.65672590 9.65675489 9.65672584 9.65663451 9.65647677 9.65624859 9.65594607 9.65556550 9.65510336 9.65455636 9.65392147 9.65319595 9.65237736 9.65146361 9.65045296 9.64934405 9.64813592 9.64682802 9.64542023 9.64391285 9.64230665 9.64060281 9.63880297 9.63690920 9.63492402 9.63285035 9.63069155 9.62845136 9.62613389 9.62374364 9.62128541 9.61876435 9.61618588 9.61355571 9.61087975 9.60816416 9.60541526 9.60263951 9.59984353 9.59703399 9.59421765 9.59140129 9.58859169 9.58579560 9.58301971 9.58027062 9.57755480 9.57487858 9.57224809 9.56966928 9.56714783 9.56468917 9.56229844 9.55998046 9.55773971 9.55558031 9.55350601 9.55152015 9.54962567 9.54782506 9.54612042 9.54451337 9.54300512 9.54159640 9.54028754 9.53907841 9.53796845 9.53695671 9.53604184 9.53522208 9.53449535 9.53385921 9.53331093 9.53284746 9.53246552 9.53216159 9.53193195 9.53177272 9.53167986 9.53164924 9.53167662 9.53175773 9.53188824 9.53206385 9.53228025 9.53253319 9.53281847 9.53313197 9.53346966 9.53382763 9.53420210 9.53458939 9.53498600 9.53538855 9.53579384 9.53619880 9.53660055 9.53699636 9.53738366 9.53776005 9.53812329 9.53847131 9.53880219 9.53911416 9.53940562 9.53967510 9.53992129 9.54014301 9.54033924 9.54050907 9.54065176 9.54076665 9.54085326 9.54091121 9.54094025 9.54094025 
9.55918896 9.55918896 9.55922915 9.55930567 9.55941820 9.55956629 9.55974930 9.55996646 9.56021680 9.56049923 9.56081244 9.56115500 9.56152524 9.56192137 9.56234136 9.56278303 9.56324397 9.56372160 9.56421312 9.56471553 9.56522563 9.56574001 9.56625504 9.56676690 9.56727157 9.56776482 9.56824225 9.56869927 9.56913111 9.56953286 9.56989946 9.57022574 9.57050640 9.57073610 9.57090941 9.57102090 9.57106513 9.57103670 9.57093026 9.57074060 9.57046261 9.57009139 9.56962222 9.56905067 9.56837256 9.56758405 9.56668167 9.56566233 9.56452337 9.56326257 9.56187820 9.56036904 9.55873438 9.55697405 9.55508841 9.55307841 9.55094553 9.54869184 9.54631993 9.54383296 9.54123462 9.53852912 9.53572116 9.53281594 9.52981910 9.52673671 9.52357524 9.52034151 9.51704269 9.51368627 9.51027995 9.50683171 9.50334969 9.49984220 9.49631765 9.49278454 9.48925141 9.48572678 9.48221916 9.47873696 9.47528849 9.47188189 9.46852513 9.46522593 9.46199177 9.45882980 9.45574687 9.45274944 9.44984358 9.44703493 9.44432869 9.44172955 9.43924174 9.43686893 9.43461428 9.43248041 9.43046936 9.42858262 9.42682113 9.42518527 9.42367485 9.42228919 9.42102703 9.41988666 9.41886586 9.41796198 9.41717192 9.41649220 9.41591898 9.41544811 9.41507513 9.41479533 9.41460381 9.41449546 9.41446507 9.41450728 9.41461672 9.41478792 9.41501546 9.41529392 9.41561793 9.41598223 9.41638162 9.41681105 9.41726561 9.41774054 9.41823124 9.41873331 9.41924251 9.41975484 9.42026647 9.42077377 9.42127333 9.42176196 9.42223664 9.42269459 9.42313321 9.42355012 9.42394310 9.42431017 9.42464948 9.42495942 9.42523851 9.42548548 9.42569921 9.42587874 9.42602331 9.42613228 9.42620518 9.42624171 9.42624171 
9.47096546 9.47096546 9.47101403 9.47110652 9.47124259 9.47142166 9.47164300 9.47190567 9.47220854 9.47255028 9.47292935 9.47334401 9.47379231 9.47427208 9.47478091 9.47531617 9.47587500 9.47645430 9.47705072 9.47766065 9.47828027 9.47890546 9.47953189 9.48015495 9.48076981 9.48137138 9.48195436 9.48251320 9.48304218 9.48353534 9.48398659 9.48438967 9.48473819 9.48502565 9.48524551 9.48539117 9.48545603 9.48543354 9.48531722 9.48510072 9.48477784 9.48434261 9.48378930 9.48311249 9.48230710 9.48136845 9.48029230 9.47907486 9.47771289 9.47620367 9.47454508 9.47273559 9.47077434 9.46866107 9.46639624 9.46398094 9.46141697 9.45870681 9.45585360 9.45286115 9.44973392 9.44647700 9.44309609 9.43959747 9.43598798 9.43227495 9.42846622 9.42457005 9.42059513 9.41655049 9.41244549 9.40828975 9.40409315 9.39986573 9.39561767 9.39135926 9.38710081 9.38285266 9.37862509 9.37442827 9.37027226 9.36616692 9.36212188 9.35814650 9.35424981 9.35044049 9.34672682 9.34311661 9.33961723 9.33623549 9.33297768 9.32984950 9.32685604 9.32400175 9.32129045 9.31872529 9.31630873 9.31404258 9.31192793 9.30996524 9.30815425 9.30649410 9.30498325 9.30361960 9.30240042 9.30132246 9.30038194 9.29957463 9.29889583 9.29834047 9.29790314 9.29757809 9.29735936 9.29724076 9.29721592 9.29727838 9.29742157 9.29763890 9.29792378 9.29826965 9.29867003 9.29911851 9.29960886 9.30013495 9.30069085 9.30127083 9.30186934 9.30248108 9.30310097 9.30372416 9.30434606 9.30496232 9.30556885 9.30616180 9.30673757 9.30729282 9.30782444 9.30832957 9.30880557 9.30925006 9.30966085 9.31003599 9.31037374 9.31067256 9.31093113 9.31114830 9.31132316 9.31145495 9.31154312 9.31158729 9.31158729 
9.38270747 9.38270747 9.38276458 9.38287342 9.38303357 9.38324437 9.38350496 9.38381427 9.38417099 9.38457356 9.38502023 9.38550895 9.38603748 9.38660328 9.38720357 9.38783529 9.38849511 9.38917942 9.38988432 9.39060562 9.39133884 9.39207919 9.39282161 9.39356071 9.39429083 9.39500603 9.39570008 9.39636649 9.39699852 9.39758921 9.39813136 9.39861762 9.39904047 9.39939225 9.39966524 9.39985166 9.39994370 9.39993363 9.39981378 9.39957663 9.39921484 9.39872132 9.39808928 9.39731228 9.39638429 9.39529974 9.39405357 9.39264129 9.39105902 9.38930350 9.38737218 9.38526325 9.38297563 9.38050899 9.37786384 9.37504145 9.37204392 9.36887414 9.36553580 9.36203340 9.35837218 9.35455815 9.35059800 9.34649915 9.34226964 9.33791814 9.33345388 9.32888659 9.32422652 9.31948431 9.31467098 9.30979789 9.30487665 9.29991911 9.29493725 9.28994320 9.28494911 9.27996715 9.27500943 9.27008794 9.26521453 9.26040081 9.25565813 9.25099752 9.24642963 9.24196468 9.23761243 9.23338210 9.22928236 9.22532125 9.22150617 9.21784384 9.21434026 9.21100068 9.20782958 9.20483065 9.20200680 9.19936011 9.19689187 9.19460257 9.19249189 9.19055876 9.18880135 9.18721711 9.18580280 9.18455454 9.18346782 9.18253759 9.18175828 9.18112385 9.18062788 9.18026357 9.18002382 9.17990131 9.17988851 9.17997775 9.18016130 9.18043135 9.18078012 9.18119989 9.18168300 9.18222194 9.18280934 9.18343802 9.18410101 9.18479156 9.18550320 9.18622970 9.18696510 9.18770375 9.18844027 9.18916959 9.18988692 9.19058779 9.19126799 9.19192364 9.19255112 9.19314710 9.19370853 9.19423261 9.19471683 9.19515892 9.19555685 9.19590886 9.19621339 9.19646915 9.19667504 9.19683021 9.19693401 9.19698602 9.19698602 
9.29440860 9.29440860 9.29447447 9.29460008 9.29478493 9.29502832 9.29532925 9.29568651 9.29609860 9.29656379 9.29708006 9.29764511 9.29825638 9.29891099 9.29960579 9.30033729 9.30110170 9.30189492 9.30271249 9.30354963 9.30440123 9.30526181 9.30612558 9.30698638 9.30783771 9.30867275 9.30948435 9.31026506 9.31100712 9.31170249 9.31234291 9.31291987 9.31342469 9.31384852 9.31418242 9.31441737 9.31454434 9.31455434 9.31443848 9.31418800 9.31379438 9.31324935 9.31254501 9.31167385 9.31062883 9.30940343 9.30799174 9.30638850 9.30458915 9.30258987 9.30038766 9.29798036 9.29536666 9.29254617 9.28951940 9.28628782 9.28285382 9.27922072 9.27539278 9.27137517 9.26717396 9.26279608 9.25824928 9.25354214 9.24868396 9.24368475 9.23855520 9.23330656 9.22795068 9.22249986 9.21696685 9.21136478 9.20570706 9.20000739 9.19427963 9.18853777 9.18279587 9.17706798 9.17136810 9.16571010 9.16010766 9.15457420 9.14912285 9.14376636 9.13851703 9.13338670 9.12838664 9.12352752 9.11881935 9.11427146 9.10989240 9.10568993 9.10167097 9.09784161 9.09420700 9.09077141 9.08753816 9.08450964 9.08168732 9.07907171 9.07666242 9.07445814 9.07245671 9.07065512 9.06904956 9.06763548 9.06640761 9.06536003 9.06448623 9.06377918 9.06323136 9.06283486 9.06258143 9.06246253 9.06246942 9.06259320 9.06282488 9.06315543 9.06357583 9.06407714 9.06465051 9.06528727 9.06597890 9.06671713 9.06749394 9.06830156 9.06913255 9.06997974 9.07083632 9.07169580 9.07255202 9.07339917 9.07423179 9.07504476 9.07583329 9.07659295 9.07731962 9.07800951 9.07865914 9.07926534 9.07982526 9.08033631 9.08079621 9.08120293 9.08155475 9.08185016 9.08208795 9.08226714 9.08238700 9.08244705 9.08244705 
9.20606225 9.20606225 9.20613712 9.20627997 9.20649027 9.20676720 9.20710969 9.20751637 9.20798558 9.20851539 9.20910354 9.20974749 9.21044436 9.21119095 9.21198372 9.21281879 9.21369190 9.21459846 9.21553347 9.21649157 9.21746701 9.21845363 9.21944489 9.22043386 9.22141322 9.22237525 9.22331186 9.22421461 9.22507471 9.22588305 9.22663022 9.22730657 9.22790218 9.22840700 9.22881082 9.22910333 9.22927421 9.22931318 9.22921004 9.22895476 9.22853755 9.22794893 9.22717979 9.22622150 9.22506593 9.22370559 9.22213365 9.22034400 9.21833137 9.21609133 9.21362039 9.21091600 9.20797662 9.20480174 9.20139191 9.19774874 9.19387492 9.18977423 9.18545150 9.18091262 9.17616448 9.17121498 9.16607298 9.16074823 9.15525134 9.14959375 9.14378762 9.13784580 9.13178179 9.12560961 9.11934379 9.11299929 9.10659141 9.10013573 9.09364806 9.08714433 9.08064056 9.07415275 9.06769684 9.06128864 9.05494373 9.04867741 9.04250463 9.03643993 9.03049734 9.02469033 9.01903178 9.01353385 9.00820795 9.00306472 8.99811389 8.99336434 8.98882394 8.98449962 8.98039724 8.97652164 8.97287660 8.96946480 8.96628787 8.96334635 8.96063972 8.95816646 8.95592401 8.95390887 8.95211663 8.95054200 8.94917888 8.94802045 8.94705920 8.94628702 8.94569527 8.94527483 8.94501624 8.94490970 8.94494518 8.94511248 8.94540132 8.94580138 8.94630235 8.94689403 8.94756635 8.94830941 8.94911355 8.94996936 8.95086774 8.95179989 8.95275736 8.95373208 8.95471633 8.95570278 8.95668450 8.95765495 8.95860798 8.95953783 8.96043914 8.96130692 8.96213657 8.96292383 8.96366483 8.96435602 8.96499421 8.96557651 8.96610039 8.96656358 8.96696415 8.96730045 8.96757111 8.96777505 8.96791146 8.96797979 8.96797979 
