 0  0  0 0.00000000
 1  1  0 0.00000000
 2  2  0 0.00000000
 3  3  0 0.00000000
 4  4  0 0.00000000
 5  5  0 0.00000000
 6  6  0 0.00000000
 7  7  0 0.00000000
 8  8  0 0.00000000
 9  9  0 0.00000000
10 10  0 0.00000000
11 11  0 0.00000000
12 12  0 0.00000000
13 13  0 0.00000000
14 14  0 0.00000000
15 15  0 0.00000000
16 16  0 0.00000000
17 17  0 0.00000000
18 18  0 0.00000000
19 19  0 0.00000000
20 20  0 0.00000000
21 21  0 0.00000000
22 22  0 0.00000000
23 23  0 0.00000000
24 24  0 0.00000000
25 25  0 0.00000000
26 26  0 0.00000000
27 27  0 0.00000000
28 28  0 0.00000000
29 29  0 0.00000000
30 30  0 0.00000000
31 31  0 0.00000000
32 32  0 0.00000000
33 33  0 0.00000000
34 34  0 0.00000000
35 35  0 0.00000000
36 36  0 0.00000000
37 37  0 0.00000000
38 38  0 0.00000000
39 39  0 0.00000000
40 40  0 0.00000000
41 41  0 0.00000000
42 42  0 0.00000000
43 43  0 0.00000000
44 44  0 0.00000000
45 45  0 0.00000000
46 46  0 0.00000000
47 47  0 0.00000000
48 48  0 0.00000000
49 49  0 0.00000000
50 50  0 0.00000000
51 51  0 0.00000000
52 52  0 0.00000000
53 53  0 0.00000000
54 54  0 0.00000000
55 55  0 0.00000000
56 56  0 0.00000000
57 57  0 0.00000000
58 58  0 0.00000000
59 59  0 0.00000000
60 60  0 0.00000000
61 61  0 0.00000000
62 62  0 0.00000000
63 63  0 0.00000000
64 64  0 0.00000000
65 65  0 0.00000000
66 66  0 0.00000000
67 67  0 0.00000000
68 68  0 0.00000000
69 69  0 0.00000000
70 70  0 0.00000000
71 71  0 0.00000000
72 72  0 0.00000000
73 73  0 0.00000000
74 74  0 0.00000000
75 75  0 0.00000000
76 76  0 0.00000000
77 77  0 0.00000000
78 78  0 0.00000000
79 79  0 0.00000000
80 80  0 0.00000000
81 81  0 0.00000000
82 82  0 0.00000000
83 83  0 0.00000000
84 84  0 0.00000000
85 85  0 0.00000000
86 86  0 0.00000000
87 87  0 0.00000000
88 88  0 0.00000000
89 89  0 0.00000000
90 90  0 0.00000000
91 91  0 0.00000000
92 92  0 0.00000000
93 93  0 0.00000000
94 94  0 0.00000000
95 95  0 0.00000000
96 96  0 0.00000000
97 97  0 0.00000000
98 98  0 0.00000000
99 99  0 0.00000000
100 100  0 0.00000000
101  0  1 0.00000000
102  1  1 0.00033874
103  2  1 0.00067621
104  3  1 0.00101113
105  4  1 0.00134223
106  5  1 0.00166826
107  6  1 0.00198796
108  7  1 0.00230012
109  8  1 0.00260351
110  9  1 0.00289694
111 10  1 0.00317927
112 11  1 0.00344937
113 12  1 0.00370613
114 13  1 0.00394852
115 14  1 0.00417554
116 15  1 0.00438624
117 16  1 0.00457973
118 17  1 0.00475519
119 18  1 0.00491186
120 19  1 0.00504907
121 20  1 0.00516621
122 21  1 0.00526277
123 22  1 0.00533833
124 23  1 0.00539254
125 24  1 0.00542516
126 25  1 0.00543605
127 26  1 0.00542516
128 27  1 0.00539253
129 28  1 0.00533832
130 29  1 0.00526276
131 30  1 0.00516619
132 31  1 0.00504905
133 32  1 0.00491184
134 33  1 0.00475516
135 34  1 0.00457970
136 35  1 0.00438621
137 36  1 0.00417551
138 37  1 0.00394849
139 38  1 0.00370610
140 39  1 0.00344933
141 40  1 0.00317924
142 41  1 0.00289692
143 42  1 0.00260348
144 43  1 0.00230009
145 44  1 0.00198794
146 45  1 0.00166824
147 46  1 0.00134222
148 47  1 0.00101112
149 48  1 0.00067620
150 49  1 0.00033874
151 50  1 -0.00000000
152 51  1 -0.00003388
153 52  1 -0.00006762
154 53  1 -0.00010111
155 54  1 -0.00013422
156 55  1 -0.00016683
157 56  1 -0.00019880
158 57  1 -0.00023001
159 58  1 -0.00026035
160 59  1 -0.00028969
161 60  1 -0.00031793
162 61  1 -0.00034494
163 62  1 -0.00037061
164 63  1 -0.00039485
