0.0000000000   0.0000000000   0.0000000000
0.0000000000   3.2000000000   0.3826834324
0.0000000000   6.4000000000   0.7071067812
0.0000000000   9.6000000000   0.9238795325
0.0000000000   12.8000000000   1.0000000000
0.0000000000   16.0000000000   0.9238795325
0.0000000000   19.2000000000   0.7071067812
0.0000000000   22.4000000000   0.3826834324

3.2000000000   0.0000000000   0.7071067812
3.2000000000   3.2000000000   0.6045858488
3.2000000000   6.4000000000   0.6549086059
3.2000000000   9.6000000000   0.7168872090
3.2000000000   12.8000000000   0.7127923363
3.2000000000   16.0000000000   0.6001812902
3.2000000000   19.2000000000   0.3531319779
3.2000000000   22.4000000000   -0.0590382196

6.4000000000   0.0000000000   1.0000000000
6.4000000000   3.2000000000   0.6736446606
6.4000000000   6.4000000000   0.5910547087
6.4000000000   9.6000000000   0.5759685000
6.4000000000   12.8000000000   0.5341009774
6.4000000000   16.0000000000   0.4109214197
6.4000000000   19.2000000000   0.1642781282
6.4000000000   22.4000000000   -0.2648614812

9.6000000000   0.0000000000   0.7071067812
9.6000000000   3.2000000000   0.4989382089
9.6000000000   6.4000000000   0.4596972433
9.6000000000   9.6000000000   0.4618312984
9.6000000000   12.8000000000   0.4367218342
9.6000000000   16.0000000000   0.3451254260
9.6000000000   19.2000000000   0.1579206866
9.6000000000   22.4000000000   -0.1646858013

12.8000000000   0.0000000000   0.0000000000
12.8000000000   3.2000000000   0.1553042894
12.8000000000   6.4000000000   0.2869649506
12.8000000000   9.6000000000   0.3749378275
12.8000000000   12.8000000000   0.4058298308
12.8000000000   16.0000000000   0.3749379177
12.8000000000   19.2000000000   0.2869650892
12.8000000000   22.4000000000   0.1553044025

16.0000000000   0.0000000000   -0.7071067812
16.0000000000   3.2000000000   -0.1646858706
16.0000000000   6.4000000000   0.1579206228
16.0000000000   9.6000000000   0.3451254260
16.0000000000   12.8000000000   0.4367219244
16.0000000000   16.0000000000   0.4618314656
16.0000000000   19.2000000000   0.4596974364
16.0000000000   22.4000000000   0.4989383492

19.2000000000   0.0000000000   -1.0000000000
19.2000000000   3.2000000000   -0.2648615076
19.2000000000   6.4000000000   0.1642781282
